Ticker;SimFinId;Currency;"Fiscal Year";"Fiscal Period";"Report Date";"Publish Date";"Restated Date";"Shares (Basic)";"Shares (Diluted)";Revenue;"Cost of Revenue";"Gross Profit";"Operating Expenses";"Selling, General & Administrative";"Research & Development";"Depreciation & Amortization";"Operating Income (Loss)";"Non-Operating Income (Loss)";"Interest Expense, Net";"Pretax Income (Loss), Adj.";"Abnormal Gains (Losses)";"Pretax Income (Loss)";"Income Tax (Expense) Benefit, Net";"Income (Loss) from Continuing Operations";"Net Extraordinary Gains (Losses)";"Net Income";"Net Income (Common)"
A;45846;USD;2016;FY;2016-10-31;2016-12-20;2018-12-20;326000000;329000000;4202000000;-2005000000;2197000000;-1582000000;-1253000000;-329000000;;615000000;-71000000;-61000000;544000000;;544000000;-82000000;462000000;;462000000;462000000
A;45846;USD;2017;FY;2017-10-31;2017-12-21;2018-12-20;322000000;326000000;4472000000;-2063000000;2409000000;-1568000000;-1229000000;-339000000;;841000000;-38000000;-57000000;803000000;;803000000;-119000000;684000000;;684000000;684000000
A;45846;USD;2018;FY;2018-10-31;2018-12-20;2020-12-18;321000000;325000000;4914000000;-2234000000;2680000000;-1776000000;-1389000000;-387000000;;904000000;42000000;-37000000;946000000;;946000000;-630000000;316000000;;316000000;316000000
A;45846;USD;2019;FY;2019-10-31;2019-12-19;2021-12-17;314000000;318000000;5163000000;-2358000000;2805000000;-1864000000;-1460000000;-404000000;;941000000;-22000000;-38000000;919000000;;919000000;152000000;1071000000;;1071000000;1071000000
A;45846;USD;2020;FY;2020-10-31;2020-12-18;2021-12-17;309000000;312000000;5339000000;-2502000000;2837000000;-1991000000;-1496000000;-495000000;;846000000;-4000000;-70000000;842000000;;842000000;-123000000;719000000;;719000000;719000000
AA;367153;USD;2015;FY;2015-12-31;2016-03-02;2017-03-15;182471195;182000000;11199000000;-9039000000;2160000000;-1202000000;-353000000;-69000000;-780000000;958000000;-312000000;-270000000;646000000;-983000000;-337000000;-402000000;-739000000;;-863000000;-863000000
AA;367153;USD;2016;FY;2016-12-31;2017-02-03;2019-02-26;183000000;183000000;9318000000;-7877000000;1441000000;-1107000000;-356000000;-33000000;-718000000;334000000;-178000000;-243000000;156000000;-318000000;-162000000;-184000000;-346000000;;-400000000;-400000000
AA;367153;USD;2017;FY;2017-12-31;2018-02-26;2019-02-26;184000000;187000000;11652000000;-8991000000;2661000000;-1062000000;-280000000;-32000000;-750000000;1599000000;-131000000;-104000000;1468000000;-309000000;1159000000;-600000000;559000000;;217000000;217000000
AA;367153;USD;2018;FY;2018-12-31;2019-02-26;2021-02-25;186000000;189000000;13403000000;-10053000000;3350000000;-1012000000;-248000000;-31000000;-733000000;2338000000;-186000000;-122000000;2152000000;-527000000;1625000000;-732000000;893000000;;250000000;250000000
AA;367153;USD;2019;FY;2019-12-31;2020-02-21;2021-02-25;185000000;185000000;10433000000;-8537000000;1896000000;-1020000000;-280000000;-27000000;-713000000;876000000;-283000000;-121000000;593000000;-1031000000;-438000000;-415000000;-853000000;;-1125000000;-1125000000
AAC_delist;939324;USD;2016;FY;2016-12-31;2017-03-07;2019-04-15;22718117;22718117;279770000;-165519000;114251000;-127968000;-18275000;;-17686000;-13717000;-7675000;-8175000;-21392000;-2633000;-24025000;-2345000;-26370000;;-21218000;-21218000
AAL;68568;USD;2015;FY;2015-12-31;2016-02-24;2017-02-22;668393000;687355000;40990000000;-26603000000;14387000000;-8183000000;-1394000000;;-1364000000;6204000000;-1588000000;-841000000;4616000000;;4616000000;2994000000;7610000000;;7610000000;7610000000
AAL;68568;USD;2016;FY;2016-12-31;2017-02-22;2017-02-22;552308000;556099000;40180000000;-26814000000;13366000000;-8082000000;-1323000000;;-1525000000;5284000000;-985000000;-928000000;4299000000;;4299000000;-1623000000;2676000000;;2676000000;2676000000
